month,countries,value,country_code
1962-06,France,na,250
1962-06,Germany,na,276
1962-07,Malaysia,na,458
1962-07,Indonesia,1994,360
1962-07,Thailand,1791,764
1962-07,Philippines,550,608
1962-07,Vietnam,na,704
1962-07,China,na,156
1962-07,Hong Kong,1345,344
1962-07,Japan,197,392
1962-07,United Kingdom,1480,826
1962-07,France,na,250
1962-07,Germany,na,276
1962-08,Malaysia,na,458
1962-08,Indonesia,2053,360
1962-08,Thailand,1674,764
1962-08,Philippines,297,608
1962-08,Vietnam,na,704
1962-08,China,na,156
1962-08,Hong Kong,1570,344
1962-08,Japan,240,392
1962-08,United Kingdom,845,826
1962-08,France,na,250
1962-08,Germany,na,276
1962-09,Malaysia,na,458
1962-09,Indonesia,2650,360
1962-09,Thailand,1227,764
1962-09,Philippines,232,608
1962-09,Vietnam,na,704
1962-09,China,na,156
1962-09,Hong Kong,1140,344
1962-09,Japan,170,392
1962-09,United Kingdom,646,826
1962-09,France,na,250
1962-09,Germany,na,276
1962-10,Malaysia,na,458
1962-10,Indonesia,1870,360
1962-10,Thailand,1932,764
1962-10,Philippines,382,608
1962-10,Vietnam,na,704
1962-10,China,na,156
1962-10,Hong Kong,1796,344
1962-10,Japan,198,392
1962-10,United Kingdom,626,826
1962-10,France,na,250
1962-10,Germany,na,276
1962-11,Malaysia,na,458
1962-11,Indonesia,1694,360
1962-11,Thailand,2496,764
1962-11,Philippines,364,608
1962-11,Vietnam,na,704
1962-11,China,na,156
1962-11,Hong Kong,1756,344
1962-11,Japan,222,392
1962-11,United Kingdom,570,826
1962-11,France,na,250
1962-11,Germany,na,276
1962-12,Malaysia,na,458
1962-12,Indonesia,2283,360
1962-12,Thailand,1728,764
1962-12,Philippines,224,608
1962-12,Vietnam,na,704
1962-12,China,na,156
1962-12,Hong Kong,1435,344
1962-12,Japan,164,392
1962-12,United Kingdom,781,826
1962-12,France,na,250
1962-12,Germany,na,276
1963-01,Malaysia,na,458
1963-01,Indonesia,1623,360
1963-01,Thailand,1236,764
1963-01,Philippines,239,608
1963-01,Vietnam,na,704
1963-01,China,na,156
1963-01,Hong Kong,1241,344
1963-01,Japan,105,392
1963-01,United Kingdom,864,826
1963-01,France,na,250
1963-01,Germany,na,276
1963-02,Malaysia,na,458
1963-02,Indonesia,1447,360
1963-02,Thailand,1490,764
1963-02,Philippines,325,608
1963-02,Vietnam,na,704
1963-02,China,na,156
1963-02,Hong Kong,1203,344
1963-02,Japan,180,392
1963-02,United Kingdom,581,826
1963-02,France,na,250
1963-02,Germany,na,276
1963-03,Malaysia,na,458
1963-03,Indonesia,2170,360
1963-03,Thailand,1881,764
1963-03,Philippines,321,608
1963-03,Vietnam,na,704
1963-03,China,na,156
1963-03,Hong Kong,1464,344
1963-03,Japan,211,392
1963-03,United Kingdom,667,826
1963-03,France,na,250
1963-03,Germany,na,276
1963-04,Malaysia,na,458
1963-04,Indonesia,2072,360
1963-04,Thailand,1993,764
1963-04,Philippines,499,608
1963-04,Vietnam,na,704
1963-04,China,na,156
1963-04,Hong Kong,2017,344
1963-04,Japan,145,392
1963-04,United Kingdom,486,826
1963-04,France,na,250
1963-04,Germany,na,276
1963-05,Malaysia,na,458
1963-05,Indonesia,2045,360
1963-05,Thailand,2257,764
1963-05,Philippines,317,608
1963-05,Vietnam,na,704
1963-05,China,na,156
1963-05,Hong Kong,1639,344
1963-05,Japan,159,392
1963-05,United Kingdom,851,826
1963-05,France,na,250
1963-05,Germany,na,276
1963-06,Malaysia,na,458
1963-06,Indonesia,1836,360
1963-06,Thailand,1432,764
1963-06,Philippines,226,608
1963-06,Vietnam,na,704
1963-06,China,na,156
1963-06,Hong Kong,1321,344
1963-06,Japan,172,392
1963-06,United Kingdom,611,826
1963-06,France,na,250
1963-06,Germany,na,276
1963-07,Malaysia,na,458
1963-07,Indonesia,2305,360
1963-07,Thailand,1950,764
1963-07,Philippines,436,608
1963-07,Vietnam,na,704
1963-07,China,na,156
1963-07,Hong Kong,1815,344
1963-07,Japan,183,392
1963-07,United Kingdom,1718,826
1963-07,France,na,250
1963-07,Germany,na,276
1963-08,Malaysia,na,458
1963-08,Indonesia,2156,360
1963-08,Thailand,2696,764
1963-08,Philippines,252,608
1963-08,Vietnam,na,704
1963-08,China,na,156
1963-08,Hong Kong,1750,344
1963-08,Japan,200,392
1963-08,United Kingdom,837,826
1963-08,France,na,250
1963-08,Germany,na,276
1963-09,Malaysia,na,458
1963-09,Indonesia,1555,360
1963-09,Thailand,1566,764
1963-09,Philippines,305,608
1963-09,Vietnam,na,704
1963-09,China,na,156
1963-09,Hong Kong,1457,344
1963-09,Japan,106,392
1963-09,United Kingdom,579,826
1963-09,France,na,250
1963-09,Germany,na,276
1963-10,Malaysia,na,458
1963-10,Indonesia,26,360
1963-10,Thailand,2287,764
1963-10,Philippines,392,608
1963-10,Vietnam,na,704
1963-10,China,na,156
1963-10,Hong Kong,1980,344
1963-10,Japan,89,392
1963-10,United Kingdom,648,826
1963-10,France,na,250
1963-10,Germany,na,276
1963-11,Malaysia,na,458
1963-11,Indonesia,39,360
1963-11,Thailand,2385,764
1963-11,Philippines,369,608
1963-11,Vietnam,na,704
1963-11,China,na,156
1963-11,Hong Kong,2294,344
1963-11,Japan,155,392
1963-11,United Kingdom,759,826
1963-11,France,na,250
1963-11,Germany,na,276
1963-12,Malaysia,na,458
1963-12,Indonesia,19,360
1963-12,Thailand,1860,764
1963-12,Philippines,303,608
1963-12,Vietnam,na,704
1963-12,China,na,156
1963-12,Hong Kong,1552,344
1963-12,Japan,103,392
1963-12,United Kingdom,877,826
1963-12,France,na,250
1963-12,Germany,na,276
1964-01,Malaysia,na,458
1964-01,Indonesia,85,360
1964-01,Thailand,1697,764
1964-01,Philippines,226,608
1964-01,Vietnam,na,704
1964-01,China,na,156
1964-01,Hong Kong,1539,344
1964-01,Japan,168,392
1964-01,United Kingdom,1331,826
1964-01,France,na,250
1964-01,Germany,na,276
1964-02,Malaysia,na,458
1964-02,Indonesia,29,360
1964-02,Thailand,1795,764
1964-02,Philippines,570,608
1964-02,Vietnam,na,704
1964-02,China,na,156
1964-02,Hong Kong,1267,344
1964-02,Japan,95,392
1964-02,United Kingdom,1633,826
1964-02,France,na,250
1964-02,Germany,na,276
1964-03,Malaysia,na,458
1964-03,Indonesia,206,360
1964-03,Thailand,2295,764
1964-03,Philippines,568,608
1964-03,Vietnam,na,704
1964-03,China,na,156
1964-03,Hong Kong,1529,344
1964-03,Japan,214,392
1964-03,United Kingdom,778,826
1964-03,France,na,250
1964-03,Germany,na,276
1964-04,Malaysia,na,458
1964-04,Indonesia,438,360
1964-04,Thailand,2035,764
1964-04,Philippines,546,608
1964-04,Vietnam,na,704
1964-04,China,na,156
1964-04,Hong Kong,1830,344
1964-04,Japan,169,392
1964-04,United Kingdom,360,826
1964-04,France,na,250
1964-04,Germany,na,276
1964-05,Malaysia,na,458
1964-05,Indonesia,279,360
1964-05,Thailand,2257,764
1964-05,Philippines,456,608
1964-05,Vietnam,na,704
1964-05,China,na,156
1964-05,Hong Kong,1889,344
1964-05,Japan,148,392
1964-05,United Kingdom,495,826
1964-05,France,na,250
1964-05,Germany,na,276
1964-06,Malaysia,na,458
1964-06,Indonesia,281,360
1964-06,Thailand,1665,764
1964-06,Philippines,336,608
1964-06,Vietnam,na,704
1964-06,China,na,156
1964-06,Hong Kong,1401,344
1964-06,Japan,220,392
1964-06,United Kingdom,568,826
1964-06,France,na,250
1964-06,Germany,na,276
1964-07,Malaysia,na,458
1964-07,Indonesia,343,360
1964-07,Thailand,2405,764
1964-07,Philippines,163,608
1964-07,Vietnam,na,704
1964-07,China,na,156
1964-07,Hong Kong,1621,344
1964-07,Japan,160,392
1964-07,United Kingdom,1758,826
1964-07,France,na,250
1964-07,Germany,na,276
1964-08,Malaysia,na,458
1964-08,Indonesia,337,360
1964-08,Thailand,1885,764
1964-08,Philippines,309,608
1964-08,Vietnam,na,704
1964-08,China,na,156
1964-08,Hong Kong,1638,344
1964-08,Japan,210,392
1964-08,United Kingdom,712,826
1964-08,France,na,250
1964-08,Germany,na,276
1964-09,Malaysia,na,458
1964-09,Indonesia,230,360
1964-09,Thailand,1607,764
1964-09,Philippines,281,608
1964-09,Vietnam,na,704
1964-09,China,na,156
1964-09,Hong Kong,1371,344
1964-09,Japan,190,392
1964-09,United Kingdom,600,826
1964-09,France,na,250
1964-09,Germany,na,276
1964-10,Malaysia,na,458
1964-10,Indonesia,300,360
1964-10,Thailand,2477,764
1964-10,Philippines,472,608
1964-10,Vietnam,na,704
1964-10,China,na,156
1964-10,Hong Kong,2013,344
1964-10,Japan,187,392
1964-10,United Kingdom,690,826
1964-10,France,na,250
1964-10,Germany,na,276
1964-11,Malaysia,na,458
1964-11,Indonesia,280,360
1964-11,Thailand,2605,764
1964-11,Philippines,614,608
1964-11,Vietnam,na,704
1964-11,China,na,156
1964-11,Hong Kong,2351,344
1964-11,Japan,165,392
1964-11,United Kingdom,564,826
1964-11,France,na,250
1964-11,Germany,na,276
1964-12,Malaysia,na,458
1964-12,Indonesia,245,360
1964-12,Thailand,1862,764
1964-12,Philippines,513,608
1964-12,Vietnam,na,704
1964-12,China,na,156
1964-12,Hong Kong,1824,344
1964-12,Japan,161,392
1964-12,United Kingdom,1520,826
1964-12,France,na,250
1964-12,Germany,na,276
1965-01,Malaysia,na,458
1965-01,Indonesia,207,360
1965-01,Thailand,1758,764
1965-01,Philippines,374,608
1965-01,Vietnam,na,704
1965-01,China,na,156
1965-01,Hong Kong,1521,344
1965-01,Japan,178,392
1965-01,United Kingdom,984,826
1965-01,France,na,250
1965-01,Germany,na,276
1965-02,Malaysia,na,458
1965-02,Indonesia,256,360
1965-02,Thailand,1980,764
1965-02,Philippines,494,608
1965-02,Vietnam,na,704
1965-02,China,na,156
1965-02,Hong Kong,1346,344
1965-02,Japan,183,392
1965-02,United Kingdom,690,826
1965-02,France,na,250
1965-02,Germany,na,276
1965-03,Malaysia,na,458
1965-03,Indonesia,332,360
1965-03,Thailand,2058,764
1965-03,Philippines,437,608
1965-03,Vietnam,na,704
1965-03,China,na,156
1965-03,Hong Kong,1644,344
1965-03,Japan,248,392
1965-03,United Kingdom,598,826
1965-03,France,na,250
1965-03,Germany,na,276
1965-04,Malaysia,na,458
1965-04,Indonesia,385,360
1965-04,Thailand,2068,764
1965-04,Philippines,343,608
1965-04,Vietnam,na,704
1965-04,China,na,156
1965-04,Hong Kong,2514,344
1965-04,Japan,262,392
1965-04,United Kingdom,870,826
1965-04,France,na,250
1965-04,Germany,na,276
1965-05,Malaysia,na,458
1965-05,Indonesia,305,360
1965-05,Thailand,2160,764
1965-05,Philippines,582,608
1965-05,Vietnam,na,704
1965-05,China,na,156
1965-05,Hong Kong,2966,344
1965-05,Japan,205,392
1965-05,United Kingdom,1076,826
1965-05,France,na,250
1965-05,Germany,na,276
1965-06,Malaysia,na,458
1965-06,Indonesia,294,360
1965-06,Thailand,1390,764
1965-06,Philippines,355,608
1965-06,Vietnam,na,704
1965-06,China,na,156
1965-06,Hong Kong,2106,344
1965-06,Japan,235,392
1965-06,United Kingdom,882,826
1965-06,France,na,250
1965-06,Germany,na,276
1965-07,Malaysia,na,458
1965-07,Indonesia,316,360
1965-07,Thailand,2147,764
1965-07,Philippines,681,608
1965-07,Vietnam,na,704
1965-07,China,na,156
1965-07,Hong Kong,2623,344
1965-07,Japan,201,392
1965-07,United Kingdom,2393,826
1965-07,France,na,250
1965-07,Germany,na,276
1965-08,Malaysia,na,458
1965-08,Indonesia,338,360
1965-08,Thailand,1906,764
1965-08,Philippines,365,608
1965-08,Vietnam,na,704
1965-08,China,na,156
1965-08,Hong Kong,2532,344
1965-08,Japan,322,392
1965-08,United Kingdom,1103,826
1965-08,France,na,250
1965-08,Germany,na,276
1965-09,Malaysia,na,458
1965-09,Indonesia,262,360
1965-09,Thailand,1804,764
1965-09,Philippines,369,608
1965-09,Vietnam,na,704
1965-09,China,na,156
1965-09,Hong Kong,1742,344
1965-09,Japan,210,392
1965-09,United Kingdom,902,826
1965-09,France,na,250
1965-09,Germany,na,276
1965-10,Malaysia,na,458
1965-10,Indonesia,213,360
1965-10,Thailand,2711,764
1965-10,Philippines,638,608
1965-10,Vietnam,na,704
1965-10,China,na,156
1965-10,Hong Kong,2658,344
1965-10,Japan,348,392
1965-10,United Kingdom,774,826
1965-10,France,na,250
1965-10,Germany,na,276
1965-11,Malaysia,na,458
1965-11,Indonesia,375,360
1965-11,Thailand,2477,764
1965-11,Philippines,540,608
1965-11,Vietnam,na,704
1965-11,China,na,156
1965-11,Hong Kong,2688,344
1965-11,Japan,309,392
1965-11,United Kingdom,612,826
1965-11,France,na,250
1965-11,Germany,na,276
1965-12,Malaysia,na,458
1965-12,Indonesia,394,360
1965-12,Thailand,1852,764
1965-12,Philippines,605,608
1965-12,Vietnam,na,704
1965-12,China,na,156
1965-12,Hong Kong,1919,344
1965-12,Japan,213,392
1965-12,United Kingdom,1537,826
1965-12,France,na,250
1965-12,Germany,na,276
1966-01,Malaysia,9911,458
1966-01,Indonesia,323,360
1966-01,Thailand,1711,764
1966-01,Philippines,367,608
1966-01,Vietnam,na,704
1966-01,China,na,156
1966-01,Hong Kong,1554,344
1966-01,Japan,181,392
1966-01,United Kingdom,878,826
1966-01,France,na,250
1966-01,Germany,na,276
1966-02,Malaysia,8876,458
1966-02,Indonesia,346,360
1966-02,Thailand,2179,764
1966-02,Philippines,450,608
1966-02,Vietnam,na,704
1966-02,China,na,156
1966-02,Hong Kong,1567,344
1966-02,Japan,217,392
1966-02,United Kingdom,485,826
1966-02,France,na,250
1966-02,Germany,na,276
1966-03,Malaysia,8928,458
1966-03,Indonesia,386,360
1966-03,Thailand,2061,764
1966-03,Philippines,345,608
1966-03,Vietnam,na,704
1966-03,China,na,156
1966-03,Hong Kong,1721,344
1966-03,Japan,232,392
1966-03,United Kingdom,885,826
1966-03,France,na,250
1966-03,Germany,na,276
1966-04,Malaysia,10035,458
1966-04,Indonesia,341,360
1966-04,Thailand,2425,764
1966-04,Philippines,445,608
1966-04,Vietnam,na,704
1966-04,China,na,156
1966-04,Hong Kong,2512,344
1966-04,Japan,238,392
1966-04,United Kingdom,715,826
1966-04,France,na,250
1966-04,Germany,na,276
1966-05,Malaysia,9122,458
1966-05,Indonesia,304,360
1966-05,Thailand,2086,764
1966-05,Philippines,585,608
1966-05,Vietnam,na,704
1966-05,China,na,156
1966-05,Hong Kong,2844,344
1966-05,Japan,165,392
1966-05,United Kingdom,581,826
1966-05,France,na,250
1966-05,Germany,na,276
1966-06,Malaysia,8891,458
1966-06,Indonesia,471,360
1966-06,Thailand,1879,764
1966-06,Philippines,393,608
1966-06,Vietnam,na,704
1966-06,China,na,156
1966-06,Hong Kong,2172,344
1966-06,Japan,223,392
1966-06,United Kingdom,568,826
1966-06,France,na,250
1966-06,Germany,na,276
1966-07,Malaysia,9574,458
1966-07,Indonesia,573,360
1966-07,Thailand,2222,764
1966-07,Philippines,618,608
1966-07,Vietnam,na,704
1966-07,China,na,156
1966-07,Hong Kong,2783,344
1966-07,Japan,237,392
1966-07,United Kingdom,2069,826
1966-07,France,na,250
1966-07,Germany,na,276
1966-08,Malaysia,10953,458
1966-08,Indonesia,704,360
1966-08,Thailand,2234,764
