month,countries,value,country_code
1962-06,France,na,250
1962-06,Germany,na,276
1962-07,Malaysia,na,458
1962-07,Indonesia,2017,360
1962-07,Thailand,1991,764
1962-07,Philippines,278,608
1962-07,Vietnam,na,704
1962-07,China,na,156
1962-07,Hong Kong,1202,344
1962-07,Japan,151,392
1962-07,United Kingdom,503,826
1962-07,France,na,250
1962-07,Germany,na,276
1962-08,Malaysia,na,458
1962-08,Indonesia,2464,360
1962-08,Thailand,1506,764
1962-08,Philippines,345,608
1962-08,Vietnam,na,704
1962-08,China,na,156
1962-08,Hong Kong,1596,344
1962-08,Japan,171,392
1962-08,United Kingdom,624,826
1962-08,France,na,250
1962-08,Germany,na,276
1962-09,Malaysia,na,458
1962-09,Indonesia,1901,360
1962-09,Thailand,1653,764
1962-09,Philippines,184,608
1962-09,Vietnam,na,704
1962-09,China,na,156
1962-09,Hong Kong,1533,344
1962-09,Japan,181,392
1962-09,United Kingdom,1681,826
1962-09,France,na,250
1962-09,Germany,na,276
1962-10,Malaysia,na,458
1962-10,Indonesia,1758,360
1962-10,Thailand,1859,764
1962-10,Philippines,320,608
1962-10,Vietnam,na,704
1962-10,China,na,156
1962-10,Hong Kong,1593,344
1962-10,Japan,242,392
1962-10,United Kingdom,511,826
1962-10,France,na,250
1962-10,Germany,na,276
1962-11,Malaysia,na,458
1962-11,Indonesia,1807,360
1962-11,Thailand,2062,764
1962-11,Philippines,411,608
1962-11,Vietnam,na,704
1962-11,China,na,156
1962-11,Hong Kong,2000,344
1962-11,Japan,255,392
1962-11,United Kingdom,419,826
1962-11,France,na,250
1962-11,Germany,na,276
1962-12,Malaysia,na,458
1962-12,Indonesia,1975,360
1962-12,Thailand,1732,764
1962-12,Philippines,232,608
1962-12,Vietnam,na,704
1962-12,China,na,156
1962-12,Hong Kong,1670,344
1962-12,Japan,214,392
1962-12,United Kingdom,505,826
1962-12,France,na,250
1962-12,Germany,na,276
1963-01,Malaysia,na,458
1963-01,Indonesia,1587,360
1963-01,Thailand,1322,764
1963-01,Philippines,220,608
1963-01,Vietnam,na,704
1963-01,China,na,156
1963-01,Hong Kong,1052,344
1963-01,Japan,111,392
1963-01,United Kingdom,578,826
1963-01,France,na,250
1963-01,Germany,na,276
1963-02,Malaysia,na,458
1963-02,Indonesia,1562,360
1963-02,Thailand,1464,764
1963-02,Philippines,189,608
1963-02,Vietnam,na,704
1963-02,China,na,156
1963-02,Hong Kong,1386,344
1963-02,Japan,104,392
1963-02,United Kingdom,307,826
1963-02,France,na,250
1963-02,Germany,na,276
1963-03,Malaysia,na,458
1963-03,Indonesia,1644,360
1963-03,Thailand,2478,764
1963-03,Philippines,282,608
1963-03,Vietnam,na,704
1963-03,China,na,156
1963-03,Hong Kong,1762,344
1963-03,Japan,199,392
1963-03,United Kingdom,554,826
1963-03,France,na,250
1963-03,Germany,na,276
1963-04,Malaysia,na,458
1963-04,Indonesia,1729,360
1963-04,Thailand,2595,764
1963-04,Philippines,337,608
1963-04,Vietnam,na,704
1963-04,China,na,156
1963-04,Hong Kong,2028,344
1963-04,Japan,164,392
1963-04,United Kingdom,768,826
1963-04,France,na,250
1963-04,Germany,na,276
1963-05,Malaysia,na,458
1963-05,Indonesia,1594,360
1963-05,Thailand,2288,764
1963-05,Philippines,245,608
1963-05,Vietnam,na,704
1963-05,China,na,156
1963-05,Hong Kong,1629,344
1963-05,Japan,139,392
1963-05,United Kingdom,717,826
1963-05,France,na,250
1963-05,Germany,na,276
1963-06,Malaysia,na,458
1963-06,Indonesia,1643,360
1963-06,Thailand,1735,764
1963-06,Philippines,223,608
1963-06,Vietnam,na,704
1963-06,China,na,156
1963-06,Hong Kong,1138,344
1963-06,Japan,120,392
1963-06,United Kingdom,556,826
1963-06,France,na,250
1963-06,Germany,na,276
1963-07,Malaysia,na,458
1963-07,Indonesia,2045,360
1963-07,Thailand,2384,764
1963-07,Philippines,339,608
1963-07,Vietnam,na,704
1963-07,China,na,156
1963-07,Hong Kong,1274,344
1963-07,Japan,170,392
1963-07,United Kingdom,620,826
1963-07,France,na,250
1963-07,Germany,na,276
1963-08,Malaysia,na,458
1963-08,Indonesia,2104,360
1963-08,Thailand,1920,764
1963-08,Philippines,383,608
1963-08,Vietnam,na,704
1963-08,China,na,156
1963-08,Hong Kong,1675,344
1963-08,Japan,173,392
1963-08,United Kingdom,663,826
1963-08,France,na,250
1963-08,Germany,na,276
1963-09,Malaysia,na,458
1963-09,Indonesia,1518,360
1963-09,Thailand,1603,764
1963-09,Philippines,344,608
1963-09,Vietnam,na,704
1963-09,China,na,156
1963-09,Hong Kong,1497,344
1963-09,Japan,145,392
1963-09,United Kingdom,1976,826
1963-09,France,na,250
1963-09,Germany,na,276
1963-10,Malaysia,na,458
1963-10,Indonesia,1,360
1963-10,Thailand,2531,764
1963-10,Philippines,324,608
1963-10,Vietnam,na,704
1963-10,China,na,156
1963-10,Hong Kong,1711,344
1963-10,Japan,135,392
1963-10,United Kingdom,496,826
1963-10,France,na,250
1963-10,Germany,na,276
1963-11,Malaysia,na,458
1963-11,Indonesia,9,360
1963-11,Thailand,2382,764
1963-11,Philippines,537,608
1963-11,Vietnam,na,704
1963-11,China,na,156
1963-11,Hong Kong,2012,344
1963-11,Japan,103,392
1963-11,United Kingdom,397,826
1963-11,France,na,250
1963-11,Germany,na,276
1963-12,Malaysia,na,458
1963-12,Indonesia,10,360
1963-12,Thailand,1575,764
1963-12,Philippines,276,608
1963-12,Vietnam,na,704
1963-12,China,na,156
1963-12,Hong Kong,1529,344
1963-12,Japan,103,392
1963-12,United Kingdom,647,826
1963-12,France,na,250
1963-12,Germany,na,276
1964-01,Malaysia,na,458
1964-01,Indonesia,4,360
1964-01,Thailand,1431,764
1964-01,Philippines,273,608
1964-01,Vietnam,na,704
1964-01,China,na,156
1964-01,Hong Kong,1024,344
1964-01,Japan,72,392
1964-01,United Kingdom,591,826
1964-01,France,na,250
1964-01,Germany,na,276
1964-02,Malaysia,na,458
1964-02,Indonesia,5,360
1964-02,Thailand,1926,764
1964-02,Philippines,454,608
1964-02,Vietnam,na,704
1964-02,China,na,156
1964-02,Hong Kong,1517,344
1964-02,Japan,69,392
1964-02,United Kingdom,1470,826
1964-02,France,na,250
1964-02,Germany,na,276
1964-03,Malaysia,na,458
1964-03,Indonesia,15,360
1964-03,Thailand,2612,764
1964-03,Philippines,505,608
1964-03,Vietnam,na,704
1964-03,China,na,156
1964-03,Hong Kong,1904,344
1964-03,Japan,160,392
1964-03,United Kingdom,614,826
1964-03,France,na,250
1964-03,Germany,na,276
1964-04,Malaysia,na,458
1964-04,Indonesia,114,360
1964-04,Thailand,2649,764
1964-04,Philippines,392,608
1964-04,Vietnam,na,704
1964-04,China,na,156
1964-04,Hong Kong,2022,344
1964-04,Japan,180,392
1964-04,United Kingdom,682,826
1964-04,France,na,250
1964-04,Germany,na,276
1964-05,Malaysia,na,458
1964-05,Indonesia,123,360
1964-05,Thailand,1985,764
1964-05,Philippines,445,608
1964-05,Vietnam,na,704
1964-05,China,na,156
1964-05,Hong Kong,1700,344
1964-05,Japan,173,392
1964-05,United Kingdom,529,826
1964-05,France,na,250
1964-05,Germany,na,276
1964-06,Malaysia,na,458
1964-06,Indonesia,138,360
1964-06,Thailand,1503,764
1964-06,Philippines,305,608
1964-06,Vietnam,na,704
1964-06,China,na,156
1964-06,Hong Kong,1384,344
1964-06,Japan,99,392
1964-06,United Kingdom,553,826
1964-06,France,na,250
1964-06,Germany,na,276
1964-07,Malaysia,na,458
1964-07,Indonesia,153,360
1964-07,Thailand,1955,764
1964-07,Philippines,155,608
1964-07,Vietnam,na,704
1964-07,China,na,156
1964-07,Hong Kong,1470,344
1964-07,Japan,139,392
1964-07,United Kingdom,571,826
1964-07,France,na,250
1964-07,Germany,na,276
1964-08,Malaysia,na,458
1964-08,Indonesia,173,360
1964-08,Thailand,1765,764
1964-08,Philippines,317,608
1964-08,Vietnam,na,704
1964-08,China,na,156
1964-08,Hong Kong,1721,344
1964-08,Japan,174,392
1964-08,United Kingdom,791,826
1964-08,France,na,250
1964-08,Germany,na,276
1964-09,Malaysia,na,458
1964-09,Indonesia,86,360
1964-09,Thailand,1505,764
1964-09,Philippines,239,608
1964-09,Vietnam,na,704
1964-09,China,na,156
1964-09,Hong Kong,1326,344
1964-09,Japan,130,392
1964-09,United Kingdom,1688,826
1964-09,France,na,250
1964-09,Germany,na,276
1964-10,Malaysia,na,458
1964-10,Indonesia,131,360
1964-10,Thailand,2181,764
1964-10,Philippines,377,608
1964-10,Vietnam,na,704
1964-10,China,na,156
1964-10,Hong Kong,1955,344
1964-10,Japan,122,392
1964-10,United Kingdom,505,826
1964-10,France,na,250
1964-10,Germany,na,276
1964-11,Malaysia,na,458
1964-11,Indonesia,215,360
1964-11,Thailand,2314,764
1964-11,Philippines,649,608
1964-11,Vietnam,na,704
1964-11,China,na,156
1964-11,Hong Kong,2239,344
1964-11,Japan,119,392
1964-11,United Kingdom,541,826
1964-11,France,na,250
1964-11,Germany,na,276
1964-12,Malaysia,na,458
1964-12,Indonesia,111,360
1964-12,Thailand,1884,764
1964-12,Philippines,411,608
1964-12,Vietnam,na,704
1964-12,China,na,156
1964-12,Hong Kong,1836,344
1964-12,Japan,151,392
1964-12,United Kingdom,589,826
1964-12,France,na,250
1964-12,Germany,na,276
1965-01,Malaysia,na,458
1965-01,Indonesia,135,360
1965-01,Thailand,1426,764
1965-01,Philippines,374,608
1965-01,Vietnam,na,704
1965-01,China,na,156
1965-01,Hong Kong,1586,344
1965-01,Japan,118,392
1965-01,United Kingdom,1311,826
1965-01,France,na,250
1965-01,Germany,na,276
1965-02,Malaysia,na,458
1965-02,Indonesia,124,360
1965-02,Thailand,1755,764
1965-02,Philippines,303,608
1965-02,Vietnam,na,704
1965-02,China,na,156
1965-02,Hong Kong,1815,344
1965-02,Japan,127,392
1965-02,United Kingdom,479,826
1965-02,France,na,250
1965-02,Germany,na,276
1965-03,Malaysia,na,458
1965-03,Indonesia,157,360
1965-03,Thailand,2578,764
1965-03,Philippines,428,608
1965-03,Vietnam,na,704
1965-03,China,na,156
1965-03,Hong Kong,2083,344
1965-03,Japan,161,392
1965-03,United Kingdom,656,826
1965-03,France,na,250
1965-03,Germany,na,276
1965-04,Malaysia,na,458
1965-04,Indonesia,169,360
1965-04,Thailand,2259,764
1965-04,Philippines,257,608
1965-04,Vietnam,na,704
1965-04,China,na,156
1965-04,Hong Kong,2589,344
1965-04,Japan,270,392
1965-04,United Kingdom,986,826
1965-04,France,na,250
1965-04,Germany,na,276
1965-05,Malaysia,na,458
1965-05,Indonesia,132,360
1965-05,Thailand,2314,764
1965-05,Philippines,395,608
1965-05,Vietnam,na,704
1965-05,China,na,156
1965-05,Hong Kong,2096,344
1965-05,Japan,191,392
1965-05,United Kingdom,777,826
1965-05,France,na,250
1965-05,Germany,na,276
1965-06,Malaysia,na,458
1965-06,Indonesia,108,360
1965-06,Thailand,1561,764
1965-06,Philippines,258,608
1965-06,Vietnam,na,704
1965-06,China,na,156
1965-06,Hong Kong,1447,344
1965-06,Japan,140,392
1965-06,United Kingdom,670,826
1965-06,France,na,250
1965-06,Germany,na,276
1965-07,Malaysia,na,458
1965-07,Indonesia,131,360
1965-07,Thailand,2053,764
1965-07,Philippines,383,608
1965-07,Vietnam,na,704
1965-07,China,na,156
1965-07,Hong Kong,1763,344
1965-07,Japan,168,392
1965-07,United Kingdom,846,826
1965-07,France,na,250
1965-07,Germany,na,276
1965-08,Malaysia,na,458
1965-08,Indonesia,175,360
1965-08,Thailand,2108,764
1965-08,Philippines,408,608
1965-08,Vietnam,na,704
1965-08,China,na,156
1965-08,Hong Kong,2087,344
1965-08,Japan,221,392
1965-08,United Kingdom,872,826
1965-08,France,na,250
1965-08,Germany,na,276
1965-09,Malaysia,na,458
1965-09,Indonesia,94,360
1965-09,Thailand,1990,764
1965-09,Philippines,285,608
1965-09,Vietnam,na,704
1965-09,China,na,156
1965-09,Hong Kong,2007,344
1965-09,Japan,296,392
1965-09,United Kingdom,2511,826
1965-09,France,na,250
1965-09,Germany,na,276
1965-10,Malaysia,na,458
1965-10,Indonesia,110,360
1965-10,Thailand,2972,764
1965-10,Philippines,428,608
1965-10,Vietnam,na,704
1965-10,China,na,156
1965-10,Hong Kong,1999,344
1965-10,Japan,151,392
1965-10,United Kingdom,495,826
1965-10,France,na,250
1965-10,Germany,na,276
1965-11,Malaysia,na,458
1965-11,Indonesia,155,360
1965-11,Thailand,2383,764
1965-11,Philippines,684,608
1965-11,Vietnam,na,704
1965-11,China,na,156
1965-11,Hong Kong,2204,344
1965-11,Japan,201,392
1965-11,United Kingdom,515,826
1965-11,France,na,250
1965-11,Germany,na,276
1965-12,Malaysia,na,458
1965-12,Indonesia,145,360
1965-12,Thailand,1834,764
1965-12,Philippines,503,608
1965-12,Vietnam,na,704
1965-12,China,na,156
1965-12,Hong Kong,1941,344
1965-12,Japan,192,392
1965-12,United Kingdom,658,826
1965-12,France,na,250
1965-12,Germany,na,276
1966-01,Malaysia,9550,458
1966-01,Indonesia,187,360
1966-01,Thailand,1522,764
1966-01,Philippines,215,608
1966-01,Vietnam,na,704
1966-01,China,na,156
1966-01,Hong Kong,1471,344
1966-01,Japan,108,392
1966-01,United Kingdom,1559,826
1966-01,France,na,250
1966-01,Germany,na,276
1966-02,Malaysia,8324,458
1966-02,Indonesia,163,360
1966-02,Thailand,1967,764
1966-02,Philippines,342,608
1966-02,Vietnam,na,704
1966-02,China,na,156
1966-02,Hong Kong,1942,344
1966-02,Japan,116,392
1966-02,United Kingdom,431,826
1966-02,France,na,250
1966-02,Germany,na,276
1966-03,Malaysia,8694,458
1966-03,Indonesia,174,360
1966-03,Thailand,2427,764
1966-03,Philippines,409,608
1966-03,Vietnam,na,704
1966-03,China,na,156
1966-03,Hong Kong,1946,344
1966-03,Japan,187,392
1966-03,United Kingdom,653,826
1966-03,France,na,250
1966-03,Germany,na,276
1966-04,Malaysia,9831,458
1966-04,Indonesia,219,360
1966-04,Thailand,2587,764
1966-04,Philippines,443,608
1966-04,Vietnam,na,704
1966-04,China,na,156
1966-04,Hong Kong,2488,344
1966-04,Japan,324,392
1966-04,United Kingdom,992,826
1966-04,France,na,250
1966-04,Germany,na,276
1966-05,Malaysia,9174,458
1966-05,Indonesia,250,360
1966-05,Thailand,2842,764
1966-05,Philippines,407,608
1966-05,Vietnam,na,704
1966-05,China,na,156
1966-05,Hong Kong,2016,344
1966-05,Japan,229,392
1966-05,United Kingdom,678,826
1966-05,France,na,250
1966-05,Germany,na,276
1966-06,Malaysia,8622,458
1966-06,Indonesia,250,360
1966-06,Thailand,2023,764
1966-06,Philippines,404,608
1966-06,Vietnam,na,704
1966-06,China,na,156
1966-06,Hong Kong,1639,344
1966-06,Japan,337,392
1966-06,United Kingdom,655,826
1966-06,France,na,250
1966-06,Germany,na,276
1966-07,Malaysia,9520,458
1966-07,Indonesia,325,360
1966-07,Thailand,2809,764
1966-07,Philippines,476,608
1966-07,Vietnam,na,704
1966-07,China,na,156
1966-07,Hong Kong,2180,344
1966-07,Japan,247,392
1966-07,United Kingdom,667,826
1966-07,France,na,250
1966-07,Germany,na,276
1966-08,Malaysia,10897,458
1966-08,Indonesia,369,360
1966-08,Thailand,2719,764
